                    Package    Version
askpass             askpass        1.1
assertthat       assertthat      0.2.1
backports         backports      1.4.1
base                   base      4.1.3
base64enc         base64enc      0.1-3
bit                     bit      4.0.4
bit64                 bit64      4.0.5
bitops               bitops      1.0-7
blob                   blob      1.2.3
brew                   brew      1.0-7
brio                   brio      1.1.3
broom                 broom      1.0.0
bslib                 bslib      0.4.0
cachem               cachem      1.0.6
callr                 callr      3.7.1
caret                 caret     6.0-93
cellranger       cellranger      1.1.0
class                 class     7.3-20
cli                     cli      3.3.0
clipr                 clipr      0.8.0
codetools         codetools     0.2-18
colorspace       colorspace      2.0-3
commonmark       commonmark      1.8.0
compiler           compiler      4.1.3
conflicted       conflicted      1.1.0
cpp11                 cpp11      0.4.2
crayon               crayon      1.5.1
credentials     credentials      1.3.2
curl                   curl      4.3.2
data.table       data.table     1.14.2
datasets           datasets      4.1.3
DBI                     DBI      1.1.3
dbplyr               dbplyr      2.2.1
desc                   desc      1.4.1
devtools           devtools      2.4.4
dials                 dials      1.0.0
DiceDesign       DiceDesign        1.9
diffobj             diffobj      0.3.5
digest               digest     0.6.29
downlit             downlit      0.4.2
dplyr                 dplyr      1.0.9
dtplyr               dtplyr      1.2.1
e1071                 e1071     1.7-11
ellipsis           ellipsis      0.3.2
evaluate           evaluate       0.16
fansi                 fansi      1.0.3
farver               farver      2.1.1
fastmap             fastmap      1.1.0
fontawesome     fontawesome      0.3.0
forcats             forcats      0.5.1
foreach             foreach      1.5.2
forecast           forecast     8.17.0
fracdiff           fracdiff      1.5-1
fs                       fs      1.5.2
furrr                 furrr      0.3.0
future               future     1.27.0
future.apply   future.apply      1.9.0
gargle               gargle      1.2.0
generics           generics      0.1.3
gert                   gert      1.5.0
ggplot2             ggplot2      3.3.6
gh                       gh      1.3.0
gitcreds           gitcreds      0.1.1
globals             globals     0.16.0
glue                   glue      1.6.2
googledrive     googledrive      2.0.0
googlesheets4 googlesheets4      1.0.0
gower                 gower      1.0.0
GPfit                 GPfit      1.0-8
graphics           graphics      4.1.3
grDevices         grDevices      4.1.3
grid                   grid      4.1.3
gtable               gtable      0.3.0
hardhat             hardhat      1.2.0
haven                 haven      2.5.0
hexbin               hexbin     1.28.2
highr                 highr        0.9
hms                     hms      1.1.1
htmltools         htmltools      0.5.3
htmlwidgets     htmlwidgets      1.5.4
httpuv               httpuv      1.6.5
httr                   httr      1.4.3
ids                     ids      1.0.1
infer                 infer      1.0.2
ini                     ini      0.3.1
ipred                 ipred     0.9-13
IRdisplay         IRdisplay        1.1
IRkernel           IRkernel        1.3
isoband             isoband      0.2.5
iterators         iterators     1.0.14
jquerylib         jquerylib      0.1.4
jsonlite           jsonlite      1.8.0
KernSmooth       KernSmooth    2.23-20
knitr                 knitr       1.39
labeling           labeling      0.4.2
later                 later      1.2.0
lattice             lattice    0.20-45
lava                   lava     1.6.10
lhs                     lhs      1.1.5
lifecycle         lifecycle      1.0.1
